Common_Name,Scientific_Name,Has_photo,Has_species_account,Slug,Photo_attribution,Status1,Status2,Status3,Status4,State_list,Previous_state_list,Federal_list,IL_SGN,Pif_common_steep_decline,jv_focal_sp,iucn_red_list,road2recovery,SBC,BBS,CBC,BBA,CTAP,eBird,
American Redstart,Setophaga ruticilla,Y,Y,american_redstart,Colin Dobson,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
American Robin,Turdus migratorius,Y,Y,american_robin,Patty Dickerson,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Bald Eagle,Haliaeetus leucocephalus,Y,Y,bald_eagle,Loren Merrill,Migrant,Breeder,Winter,,,"Endangered 1977 - 1999, Threatened 1999-2009 (recovered)",,Y,,,,,Y,Y,Y,Y,Y,Y,
Baltimore Oriole,Icterus galbula,Y,Y,baltimore_oriole,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Black Tern,Chlidonias niger,Y,Y,black_tern,Colin Dobson,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,N,N,N,Y,Y,
Black-capped Chickadee,Poecile atricapillus,Y,Y,black_capped_chickadee,Patty Dickerson,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Blue Grosbeak,Passerina caerulea,Y,Y,blue_grosbeak,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Carolina Wren,Thryothorus ludovicianus,Y,Y,carolina_wren,Patty Dickerson,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Chestnut-sided Warbler,Setophaga pensylvanica,Y,Y,chestnut_sided_warbler,Rob Kanter,Migrant,Rare Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Common Nighthawk,Chordeiles minor,Y,Y,common_nighthawk,Kelsay Shaw,Migrant,,,,,,,Y,Y,,,,Y,Y,N,Y,Y,Y,
Common Yellowthroat,Geothlypis trichas,Y,Y,common_yellowthroat,Rob Kanter,Migrant,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Cooper's Hawk,Accipiter cooperii,Y,Y,coopers_hawk,Patty Dickerson,Migrant,Breeder,Winter,,,Endangered 1977 - 1997 (recovered),,,,,,,Y,Y,Y,Y,Y,Y,
Downy Woodpecker,Dryobates pubescens,Y,Y,downy_woodpecker,Rob Kanter,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Bluebird,Sialia sialis,Y,Y,eastern_bluebird,Jennifer Mui,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Kingbird,Tyrannus tyrannus,Y,Y,eastern_kingbird,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Eastern Wood-Pewee,Contopus virens,Y,Y,eastern_wood_pewee,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
European Starling,Sturnus vulgaris,Y,Y,european_starling,Sarah Slayton,Resident,Introduced,,,,,,,,,,,Y,Y,Y,N,Y,Y,
Green Heron,Butorides virescens,Y,Y,green_heron,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Hairy Woodpecker,Dryobates villosus,Y,Y,hairy_woodpecker,Rob Kanter,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
House Sparrow,Passer domesticus,Y,Y,house_sparrow,Sarah Slayton,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Indigo Bunting,Passerina cyanea,Y,Y,indigo_bunting,Jennifer Mui,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Killdeer,Charadrius vociferus,Y,Y,killdeer,Patty Dickerson,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Mourning Dove,Zenaida macroura,Y,Y,mourning_dove,Patty Dickerson,Migrant ,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Northern Bobwhite,Colinus virginianus,Y,Y,northern_bobwhite,Ryan Askren,Resident,,,,,,,Y,Y,,Near Threatened,,Y,Y,Y,Y,Y,Y,
Northern Flicker,Colaptes auratus,Y,Y,northern_flicker,Rob Kanter,Migrant ,Breeder,Winter,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Northern Yellow Warbler,Setophaga petechia,Y,Y,yellow_warbler,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Osprey,Pandion haliaetus,Y,Y,osprey,Sarah Slayton,Migrant ,Breeder,,,Threatened,"Endangered 1977 -2015, Threatened 2020",,Y,,,,,Y,Y,N,Y,Y,Y,
Pileated Woodpecker,Dryocopus pileatus,Y,Y,pileated_woodpecker,Rob Kanter,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Pine Siskin,Spinus pinus,Y,Y,pine_siskin,Rob Kanter,Migrant ,Rare Breeder,Winter,,,,,,Y,,,,Y,N,Y,Y,Y,Y,
Prothonotary Warbler,Protonotaria citrea,Y,Y,prothonotary_warbler,Rob Kanter,Migrant,Breeder,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Purple Martin,Progne subis,Y,Y,purple_martin,Sarah Slayton,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Red-bellied Woodpecker,Melanerpes carolinus,Y,Y,red_bellied_woodpecker,Rob Kanter,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Red-headed Woodpecker,Melanerpes erythrocephalus,Y,Y,red_headed_woodpecker,Rob Kanter,Migrant,Breeder,Winter,,,,,Y,,JV Focal Species,Least Concern,Moderate Urgency,Y,Y,Y,Y,Y,Y,
Red-tailed Hawk,Buteo jamaicensis,Y,Y,red_tailed_hawk,Jennifer Mui,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Red-winged Blackbird,Agelaius phoeniceus,Y,Y,red_winged_blackbird,Sarah Slayton,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Ring-necked Pheasant,Phasianus colchicus,Y,Y,ring_necked_pheasant,Rob Kanter,Resident,Introduced,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,
Sandhill Crane,Grus grus,Y,Y,sandhill_crane,Jennifer Mui,Migrant,Breeder,Winter,,,Endangered 1989-2009 (too common),,Y,,,,,Y,Y,Y,Y,Y,Y,
Scarlet Tanager,Piranga olivacea,Y,Y,scarlet_tanager,Tara Beveroth,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
Snowy Egret,Egretta thula,Y,Y,snowy_egret,Sarah Slayton,Migrant,Rare Breeder,,,Endangered,Endangered 1977 - 2020,,Y,,,,,Y,Y,N,Y,Y,Y,
Spotted Sandpiper,Actitis macularius,Y,Y,spotted_sandpiper,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Summer Tanager,Piranga rubra,Y,Y,summer_tanager,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Turkey Vulture,Cathartes aura,Y,Y,turkey_vulture,Jennifer Mui,Migrant,Breeder,Rare Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Vesper Sparrow,Pooecetes gramineus,Y,Y,vesper_sparrow,Rob Kanter,Migrant,Breeder,,,,,,,,,,,Y,Y,N,Y,Y,Y,
White-breasted Nuthatch,Sitta carolinensis,Y,Y,white_breasted_nuthatch,Rob Kanter,Resident,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Wild Turkey,Meleagris gallopavo,Y,Y,wild_turkey,Rob Kanter,Resident,Introduced,,,,,,,,,,,Y,Y,Y,Y,Y,Y,
Wood Duck,Aix sponsa,N,Y,wood_duck,NA,Migrant,Breeder,Winter,,,,,,,,,,Y,Y,Y,Y,Y,Y,
