Species,Scientific Name,Status,State E and T list,Federal E and T list,Thumbnail Photo Name,Photo Attribution 
American Goldfinch,Spinus tristis,breeder,,,american_goldfinch,Paul Crook
Black-capped Chickadee,Poecile atricapillus,breeder,,,black_capped_chickadee,Margaret Strickland
Black-crowned Night-Heron,Nycticorax nycticorax,breeder,Endangered,,black_crowned_night_heron,Wenzy Wong
Blue Jay,Cyanocitta cristata,breeder,,,blue_jay,Matthew Schwartz
Canada Goose,Branta canadensis,breeder  ,,,canada_goose,Gary Bendig
Common Yellowthroat,Geothlypis trichas,breeder,,,common_yellowthroat,Ray Hennessy
Eastern Bluebird,Sialia sialis,breeder,,,eastern_bluebird,Patrice Bouchard
Eastern Meadowlark,Sturnella magna,breeder,,,eastern_meadowlark,Jeffrey Hamilton
Great Blue Heron,Ardea herodias,breeder,,,great_blue_heron,Joseph Corl
Great Egret,Ardea alba,breeder,,,great_egret,Paul Crook
House Finch,Haemorhous mexicanus,breeder,,,house_finch,Rudy Watson
Northern Cardinal,Cardinalis cardinalis,breeder,,,northern_cardinal,Patrice Bouchard
Red-winged Blackbird,Agelaius phoeniceus,breeder,,,red_winged_blackbird,Sandra Seitamaa
Sandhill Crane,Grus grus,breeder,,,sandhill_crane,Joseph Corl
Short-eared Owl,Asio flammeus,breeder,Endangered,,short_eared_owl,Richard Lee
Song Sparrow,Melospiza melodia,breeder,,,song_sparrow,Patrice Bouchard
Tree Swallow,Tachycineta bicolor,breeder,,,tree_swallow,Dulcey Lima
Tufted Titmouse,Baeolophus bicolor,breeder,,,tufted_titmouse,Mark Olsen
White-eyed Vireo,Vireo griseus,breeder,,,white_eyed_vireo,Boris Smokrovic
White-throated Sparrow,Zonotrichia albicollis,migrant,,,white_throated_sparrow,Joshua Cotton
Yellow Warbler,Setophaga petechia,breeder,,,yellow_warbler,Mark Olsen
